approach_displacement	approach_deflection	retract_displacement	retract_deflection
23.28422	-1.674272	23.41147	1.197358
23.36535	-1.755449	23.4926	1.075593
23.44648	-1.7757429999999998	23.57373	1.0654460000000001
23.52761	-1.877214	23.65486	0.9842690000000001
23.60874	-1.8163310000000001	23.73599	0.9538277
23.68987	-1.846773	23.81712	0.9233863999999999
23.771	-1.958391	23.89825	0.8523565999999999
23.85213	-2.029421	23.97938	0.8320624999999999
23.93325	-2.0192740000000002	24.0605	0.7508856
24.01438	-2.080156	24.14163	0.7305914
24.09551	-2.080156	24.22276	0.6697088
24.17664	-2.17148	24.30389	0.5682378
24.25777	-2.222216	24.38502	0.5580906999999999
24.3389	-2.212068	24.46615	0.5073552
24.42003	-2.252657	24.54728	0.46676670000000003
24.50116	-2.272951	24.62841	0.42617829999999995
24.58229	-2.303392	24.70954	0.3754428
24.66342	-2.496187	24.79067	0.3145602
24.74454	-2.475893	24.8718	0.3044131
24.82567	-2.516482	24.95292	0.24353049999999998
24.9068	-2.455599	25.03405	0.22323630000000003
24.98793	-2.5266290000000002	25.11518	0.1217652
25.06906	-2.48604	25.19631	0.060882620000000005
25.15019	-2.7295710000000004	25.27744	0.0101471
25.23132	-2.7600119999999997	25.35857	-0.08117682
25.31245	-2.7295710000000004	25.4397	-0.1217652
25.39358	-2.739718	25.52083	-0.07102972
25.47471	-2.780306	25.60196	-0.1623536
25.55584	-2.8208949999999997	25.68309	-0.294266
25.63696	-2.932513	25.76422	-0.294266
25.71809	-2.912219	25.84534	-0.3348544
25.79922	-2.912219	25.92647	-0.38558990000000004
25.88035	-3.074572	26.0076	-0.4058841
25.96148	-3.1760430000000004	26.08873	-0.5377965
26.04261	-3.094866	26.16986	-0.5175023
26.12374	-3.115161	26.25099	-0.5580906999999999
26.20487	-3.125308	26.33212	-0.6697088
26.286	-3.196338	26.41325	-0.7204443
26.36713	-3.277514	26.49438	-0.7305914
26.44826	-3.338397	26.57551	-0.7508856
26.52938	-3.348544	26.65664	-0.8117683
26.61051	-3.4601620000000004	26.73776	-0.8726508
26.69164	-3.4601620000000004	26.81889	-0.9335335
26.77277	-3.510898	26.90002	-1.004563
26.8539	-3.5514859999999997	26.98115	-1.075593
26.93503	-3.592075	27.06228	-1.0654460000000001
27.01616	-3.6529570000000002	27.14341	-1.166917
27.09729	-3.5210449999999995	27.22454	-1.217652
27.17842	-3.64281	27.30567	-1.278535
27.25955	-3.8051639999999995	27.3868	-1.32927
